                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 4.7199,                 5.9465,                 4.0444,                      0,                      0,                      0,                      0,                 5.4806,                 6.0733,                 4.2552,             0.00019342,             0.00019342,             0.00019342
                      2,                 2.9911,                 4.2343,                 3.1362,                0.02804,                0.80424,                0.15541,                0.06326,                 2.1411,                 3.9495,                  2.436,             0.00035087,             0.00035087,             0.00035087
                      3,                 2.3071,                 3.2807,                 2.3875,                0.14966,                0.60296,                0.27174,                0.14311,                 1.6932,                 3.2443,                 2.0363,             0.00046951,             0.00046951,             0.00046951
                      4,                 2.0486,                 2.9726,                 2.1785,                0.59815,                0.32808,                 0.3737,                0.20996,                 1.5497,                 2.8892,                 1.9102,             0.00041336,             0.00041336,             0.00041336
                      5,                  1.843,                 2.6931,                 2.0052,                0.42401,                 0.6355,                0.47846,                0.24225,                  1.594,                 2.3433,                 1.8078,             0.00041336,             0.00041336,             0.00041336
                      6,                 1.8371,                 2.4257,                 1.9253,                0.41625,                0.69008,                0.59637,                0.37095,                 1.3874,                 2.2141,                 1.6367,             0.00035515,             0.00035515,             0.00035515
                      7,                 1.7014,                 2.1586,                 1.8195,                0.48601,                0.70749,                0.56704,                0.36077,                 1.3151,                 2.1146,                 1.6311,             0.00029694,             0.00029694,             0.00029694
                      8,                 1.6887,                 2.0227,                 1.7799,                 0.5135,                0.71894,                0.66578,                0.44497,                 1.2062,                 1.7242,                 1.5061,             0.00023873,             0.00023873,             0.00023873
                      9,                 1.6037,                 1.8039,                 1.7205,                0.58774,                 0.7508,                0.70295,                0.49121,                 1.1752,                 1.5624,                 1.4915,             0.00018052,             0.00018052,             0.00018052
                     10,                 1.5821,                 1.7251,                 1.6943,                0.61567,                0.73081,                0.72992,                0.45159,                 1.3503,                 1.5121,                 1.5769,              0.0001223,              0.0001223,              0.0001223
