                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 4.9557,                 5.2196,                 4.1349,                      0,                      0,                      0,                      0,                 5.1361,                 5.1879,                 4.1619,             0.00019122,             0.00019122,             0.00019122
                      2,                 3.8657,                 4.2129,                 3.6638,                      0,                      0,                      0,                      0,                 5.2105,                 5.2322,                 4.2226,             0.00034888,             0.00034888,             0.00034888
                      3,                 2.7286,                 3.4289,                 2.9742,                      0,                      0,                      0,                      0,                 4.5938,                 5.1951,                 3.7782,             0.00046774,             0.00046774,             0.00046774
                      4,                 2.2821,                 2.7732,                 2.5611,                0.28823,                 0.3185,                0.19654,                0.08578,                 2.7078,                 3.8072,                 2.8226,             0.00041336,             0.00041336,             0.00041336
                      5,                 2.0988,                 2.5117,                 2.2776,                0.32022,                0.45405,                0.24833,                0.13077,                  2.267,                 3.5558,                 2.6045,             0.00041336,             0.00041336,             0.00041336
                      6,                 1.9147,                 2.3623,                 2.1515,                0.32469,                0.40443,                0.28301,                0.15312,                 2.0933,                  3.166,                 2.3331,             0.00035515,             0.00035515,             0.00035515
                      7,                 1.8436,                  2.132,                  2.076,                0.29825,                0.49441,                0.34609,                0.15725,                 2.2021,                 3.0748,                 2.3259,             0.00029694,             0.00029694,             0.00029694
                      8,                  1.866,                 2.0589,                 2.0353,                0.28673,                0.50498,                0.36615,                 0.2144,                 1.9603,                  2.908,                  2.164,             0.00023873,             0.00023873,             0.00023873
                      9,                 1.7663,                 1.9669,                 1.9612,                0.30568,                0.55132,                0.41312,                0.25978,                 1.8686,                 3.4872,                 2.0981,             0.00018052,             0.00018052,             0.00018052
                     10,                 1.7035,                 1.8743,                 1.9303,                 0.3476,                0.54644,                0.41203,                0.26856,                  1.824,                 3.1158,                 2.0567,              0.0001223,              0.0001223,              0.0001223
